Client_ID;Transaction_time;time_zone
805;2019-12-15 03:37:36;China
67;2019-12-15 06:42:35;China
749;2019-12-15 14:48:02;China
828;2019-12-15 22:17:06;China
539;2019-12-15 23:30:35;China
408;2019-12-16 09:00:11;China
870;2019-12-16 20:36:00;China
484;2019-12-17 01:55:01;China
286;2019-12-17 03:15:43;China
234;2019-12-17 05:08:10;China
712;2019-12-17 23:20:04;China
412;2019-12-18 01:46:22;China
156;2019-12-18 02:47:18;China
262;2019-12-18 09:46:16;China
339;2019-12-18 10:13:00;China
430;2019-12-18 15:24:08;China
8;2019-12-18 15:51:15;China
804;2019-12-18 19:43:51;China
378;2019-12-18 21:45:33;China
641;2019-12-18 23:25:43;China
812;2019-12-19 01:48:46;China
660;2019-12-19 03:13:13;China
869;2019-12-19 10:05:21;China
150;2019-12-19 16:12:18;China
762;2019-12-19 16:59:07;China
188;2019-12-20 05:28:35;China
339;2019-12-20 07:27:56;China
180;2019-12-20 21:54:07;China
232;2019-12-21 05:31:08;China
792;2019-12-21 09:08:12;China
473;2019-12-21 21:48:49;China
738;2019-12-22 12:28:32;China
272;2019-12-22 14:15:30;China
171;2019-12-22 21:16:11;China
550;2019-12-23 08:25:25;China
27;2019-12-23 10:15:44;China
455;2019-12-23 11:45:32;China
200;2019-12-23 15:50:58;China
665;2019-12-23 19:13:31;China
631;2019-12-23 23:13:02;China
729;2019-12-24 01:00:39;China
881;2019-12-24 01:48:12;China
387;2019-12-24 07:43:53;China
332;2019-12-24 12:20:30;China
835;2019-12-24 23:20:25;China
145;2019-12-25 05:11:57;China
59;2019-12-25 06:22:51;China
82;2019-12-25 10:02:10;China
480;2019-12-25 11:44:34;China
560;2019-12-25 16:11:42;China
214;2019-12-25 22:21:48;China
87;2019-12-26 06:59:32;China
682;2019-12-26 10:58:44;China
347;2019-12-27 01:20:03;China
537;2019-12-27 01:26:12;China
47;2019-12-27 06:30:32;China
3;2019-12-27 15:50:45;China
565;2019-12-27 19:50:08;China
695;2019-12-28 09:03:28;China
711;2019-12-28 14:10:56;China
